kanji,meanings
誠,sincerity:admonish:warn:prohibit:truth:fidelity
戚,grieve:relatives
先,before:ahead:previous:future:precedence
千,thousand
栴,maple tree:colorful autumn foliage
洗,wash:inquire into:probe
銑,pig iron
倉,godown:warehouse:storehouse:cellar:treasury
蒼,blue:pale
鎗,spear:lance:javelin
臓,entrails:viscera:bowels
蔵,storehouse:hide:own:have:possess
造,create:make:structure:physique
属,belong:genus:subordinate official:affiliated
孫,grandchild:descendants
遜,humble:modest
堕,degenerate:descend to:lapse into
惰,lazy:laziness
楕,ellipse
宅,home:house:residence:our house:my husband
托,requesting:entrusting with:pretend:hint
託,consign:requesting:entrusting with:pretend:hint
諾,consent:assent:agreement
嘆,sigh:lament:moan:grieve:sigh of admiration
誕,nativity:be born:declension:lie:be arbitrary
暖,warmth
秩,regularity:salary:order
着,don:arrive:wear:counter for suits of clothing
鋳,casting:mint
捗,make progress
椿,camellia
鉄,iron
添,annexed:accompany:marry:suit:meet:satisfy:attach:append:garnish:imitate
梼,block of wood:blockhead:stupid
涛,waves:billows
祷,pray
透,transparent:permeate:filter:penetrate
匿,hide:shelter:shield
屯,barracks:police station:camp:ton
呑,drink
迩,approach:near:close
任,responsibility:duty:term:entrust to:appoint
妊,pregnancy
祢,ancestral shrine
年,year:counter for years
盃,glass:cup
否,negate:no:noes:refuse:decline:deny
弼,help
必,invariably:certain:inevitable
媛,beautiful woman:princess
秒,second (1/60 minute)
瀕,shore:brink:verge
賓,V.I.P.:guest
頻,repeatedly:recur
布,linen:cloth:spread:distribute
怖,dreadful:be frightened:fearful
楓,maple
風,wind:air:style:manner
閉,closed:shut
蔑,ignore:despise:neglect:ridicule
鞭,whip:rod:counter for whippings
歩,walk:counter for steps
戊,5th calendar sign
邦,home country:country:Japan
奔,run:bustle
枕,pillow
鮪,tuna
亦,also:again
湊,port:harbor
妙,exquisite:strange:queer:mystery:miracle:excellent:delicate:charming
滅,destroy:ruin:overthrow:perish
茂,overgrown:grow thick:be luxuriant
勿,not:must not:do not:be not
弥,all the more:increasingly
矢,dart:arrow
佑,help:assist
友,friend
宥,soothe:calm:pacify
有,possess:have:exist:happen:occur:approx
祐,help
雄,masculine:male:hero:leader:superiority:excellence
妖,attractive:bewitching:calamity
沃,fertility
濫,excessive:overflow:spread out
藍,indigo
覧,perusal:see
旅,trip:travel
臨,look to:face:meet:confront:attend:call on
劣,inferiority:be inferior to:be worse
賄,bribe:board:supply:finance
詫,apologize
乂,mow:cut grass:subdue
乖,oppose:disobey
乘,power:multiplication:record:counter for vehicles
亳,an ancient Chinese capital
仍,therefore:consequently
仗,cane:stick
仟,thousand
佚,lost:hide:peace:mistake:beautiful:in turn
侏,actor:supporting post
侘,proud:lonely
侑,urge to eat
决,decide:determine:judge
凭,lean on:recline on:lie heavy
刋,cut:whittle
辨,discrimination:dispose of:distinguish
咸,all:same
咤,clicking (with tongue):upbraid:pity:belch
唏,lament:grieve
哽,sob:get choked up
喊,cry:call
嗟,lament:grieve:sigh:alas:ah
囿,game preserve:pasture:garden
埀,let down:suspend:hand:down
埓,pale:picket fence:limits:come to an end
夭,early death:calamity
奧,heart:interior
姙,be(come) pregnant
娑,old woman
婬,lewdness:licentiousness
嬌,attractive
嬪,bride:marriage
尓,you:that
尠,at least:not a little
尹,an official rank
屹,towering mountains
峺,obstruct
帙,Japanese book cover
并,put together
忤,insubordinate:stubborn:wrong
忝,grateful:indebted
恠,suspicious:mystery:apparition
恁,like this:thus
慯,be sad:grieve
慝,bad:evil:disaster
戌,sign of the dog:7-9PM:eleventh sign of Chinese zodiac
拜,worship:adore:pray to
抛,hurl
拵,make:prepare:arrange
插,insert:stick into:plant
撼,move
擯,push (people) back:reject
斫,cut with a sword
昜,open:sun
晞,dry out:expose to the sun
晧,bright:pure
晟,clear
暘,sunrise
朶,branch
杤,type of oak:stable:(kokuji)
杪,twig:treetop
枡,measuring box:(kokuji)
栫,weir
梏,manacles
楹,pillar
槎,raft:cut slantwise
橢,ellipse
檳,betel-nut palm
欷,cry
歃,sip:slurp:suck
殀,dying young
殤,dying at a young age
殯,lying in state:unburied coffin
毟,pluck:pick:tear:(kokuji)
泛,to drift:float:careless:reckless
浤,rising waters:clear deep water
涎,saliva:slobber
淆,turbidity:mixing
湲,flowing water
渺,tiny:boundless
濱,beach:sea coast:river bank
炒,broil:parch:roast:fry
熈,shine
煖,warm
煬,roast:burn
爰,lead on to:therefore:then
犂,plow
犲,wolf:cruel:wicked:mean
瓩,kilogram:(kokuji)
畴,farmland:arable land:category
疚,ashamed:painful:guilty conscience
瘍,swelling:boil:tumor
皓,white:clear
盪,melt:be charmed:captivated
蘯,to toss about:to swing:to rock
眇,minuteness:squint
禹,name of a Chinese emperor
穢,dirty
窘,rebuke
窖,cellar
竏,kilolitre:(kokuji)
笏,mace:baton:scepter
笋,bamboo shoot
筵,straw mat
筬,reed:guide for yarn on a loom
箴,warning:counsel:presept:needle
粳,ordinary rice
絨,wool cloth
絏,tie
緜,cotton
緘,shut:seal
緲,faint:far off
縅,the thread/braid (of armour):(kokuji)
繽,disorder:scattering
缺,lack:gap:fail
羞,feel ashamed
羣,group:crowd:multitude:mob
隋,name of a Chinese dynasty:remains of scarifice:bury:fall:sag
膓,guts:bowels:intestines:viscera
膸,marrow:pith
臟,viscera:bowels
臧,good:bribe:servant
臻,arrive:reach:gather
舂,pound (mortar):sink:set (sun)
艾,moxa:sagebrush:wormwood:mugwort
茆,garden:farm:yard
荐,mat:repeatedly
莚,straw mat
莎,sedge
莠,appears good but is bad:type of weed which resembles rice
藏,hide:own:have:possess
蘋,duckweed
虱,lice:vermin
蜒,meandering:serpentine
蜑,egg
蜴,lizard
蝨,lice:vermin
蝪,lizard
袮,ancestral shrine:embroidery
裙,hem:underwear
裼,to bare the shoulder
襪,socks
觴,cup
誥,state:give instructions
譌,accent:dialect
讚,praise:picture title
豺,jackal
貶,degrade:disparage:belittle:demote
贊,help:support:assist:aid
贓,bribery
跌,stumble
跣,barefooted
蹙,a tight place:scowl:approaching
躱,dodge:parry:avoid
軼,pass along
輳,gather
轎,palanquin:litter
轗,difficulty:misfortune
隨,at the mercy of (the waves)
醢,salted meat
鈔,selection:summary:1/10 shaku
鉚,gold
銹,rust:tarnish
鍼,needle
鑽,make fire by rubbing sticks
阡,thousand
陏,melon:wrap
陞,go up:climb
陟,climb:rise
陦,island
隲,stallion:climb:make
靜,quiet
靠,lean on
韈,tabi:socks:stockings
顰,scowl:raise eyebrows
飫,satiety
駛,run fast
驕,pride:haughtiness
髓,marrow:pith
鬢,sideburns
鯀,large mythical fish:proper name
鯊,goby (fish)
鯑,yellow fish (herring) eggs (sushi):(kokuji)
鯣,cuttlefish
鰔,flatfish:turbot:cod
鰄,a type of fish
鹹,salty
齲,decayed tooth:cavity
曳,pull:tug:jerk:admit:install:quote:refer to
奄,cover:suffocate:obstruct
掩,cover:conceal
俺,I:myself
乾,drought:dry:dessicate:drink up:heaven:emperor
亀,tortoise:turtle
吃,stammer
孔,cavity:hole:slit:very:great:exceedingly
札,tag:paper money:counter for bonds:placard:bid
電,electricity
縄,straw rope:cord
乳,milk:breasts
巴,comma-design
蝿,fly
氾,spread out:wide
犯,crime:sin:offense
範,pattern:example:model
迄,until:up to:as far as:to the extent
乱,riot:war:disorder:disturb
竜,dragon:imperial
礼,salute:bow:ceremony:thanks:remuneration
亂,war:disorder:riot:disturb
吼,bark:bay:howl:bellow:roar:cry
乢,mountain saddle
扎,pull:tie up:prick:stab
梍,sickle handle:type of tree
淹,dip:soak:immerse:stop:linger
煢,all alone:without any family:worry
獵,hunt:field sports
糺,ask:investigate:verify:twist (rope)
紮,tie up
罨,cover
菴,hermitage
訖,come to an end:reach:arrive at:finally
軋,squeak:creak:grate
輒,promptly:easily:i.e.
閹,eunuch
阿,Africa:flatter:fawn upon:corner:nook:recess
椅,chair
宇,eaves:roof:house:heaven
迂,roundabout way
何,what
可,can:passable:mustn't:should not:do not
歌,song:sing
河,river
珂,jewel
苛,torment:scold:chastise
荷,baggage:shoulder-pole load:bear (a burden):shoulder (a gun):load:cargo:freight
俄,sudden:abrupt:improvised
峨,high mountain
我,ego:I:selfish:our:oneself
蛾,moth
餓,starve:hungry:thirst
廓,enclosure:quarter:red-light district
郭,enclosure:quarters:fortification:red-light district
奇,strange:strangeness:curiosity
寄,draw near:stop in:bring near:gather:collect:send:forward
騎,equestrian:riding on horses:counter for equestrians
儀,ceremony:rule:affair:case:a matter
犠,sacrifice
義,righteousness:justice:morality:honor:loyalty:meaning
蟻,ant
議,deliberation:consultation:debate:consideration
減,dwindle:decrease:reduce:decline:curtail:get hungry
諺,proverb
伺,pay respects:visit:ask:inquire:question:implore
司,director:official:govt office:rule:administer
詞,part of speech:words:poetry
飼,domesticate:raise:keep:feed
事,matter:thing:fact:business:reason:possibly
序,preface:beginning:order:precedence:occasion:chance:incidentally
浄,clean:purify:cleanse:exorcise:Manchu Dynasty
笥,lunch box:clothes chest
静,quiet
争,contend:dispute:argue
打,strike:hit:knock:pound:dozen
苧,hemp:flax
貯,savings:store:lay in:keep:wear mustache
丁,street:ward:town:counter for guns, tools, leaves or cakes of something:even number:4th calendar sign
庁,government office
町,town:village:block:street
頂,place on the head:receive:top of head:top:summit:peak
亭,pavilion:restaurant:mansion:arbor:cottage:vaudeville:music hall:stage name
停,halt:stopping
汀,water's edge:shore:bank
訂,revise:correct:decide
釘,nail:tack:peg
塗,paint:plaster:daub:smear:coating
途,route:way:road
灯,lamp:a light:light:counter for lights
瀞,pure water:clear water:pool in a river
寧,rather:preferably:peaceful:quiet:tranquility
覗,peep:peek:come in sight
烹,boil:cook
野,plains:field:rustic:civilian life
予,beforehand:previous:myself:I
余,too much:myself:surplus:other:remainder
預,deposit:custody:leave with:entrust to
了,complete:finish
亊,affair:matter:business:to serve:accident:incident
舒,stretch:loosen:open:relax:mention
于,going:from
佇,stop:linger:appearance:figure:bearing
倚,lean on:rest against
剞,carve
叮,courtesy
吁,exclamation
呵,scold:blow on:reprove
哥,big brother
哦,sing
竒,strange:strangeness:curiosity
娥,beautiful
婀,charm:flirtation
寐,sleep
峩,lofty
嵜,steep:promontory
崢,high:steep
嶬,high:steep
彁,(no known meaning; S&H uses jabberwocky words)
抒,tell:10**24
掎,pull:hold back
曦,the sun
杼,shuttle
柯,handle
檸,lemon tree
欹,prick up (one's ears)
淨,pure:clean:unspoiled
渮,name of Chinese river
渟,stop
濘,muddiness
烝,many:offer:dedicate:to steam
爭,to dispute:fight:contend:strive
猗,luxuriant growth:gentle:docile
獰,bad
甼,town:block
畸,difference:strange:cripple
疔,carbuncle
痾,chronic illness
盂,bowl
眄,looking askance
礒,rock:beach:shore
祠,small shrine
竚,stop:linger
箏,a koto
筝,koto
紆,crouch
紵,flax:linen
綺,figured cloth:beautiful
罅,fissure:crack:hole
羇,reins
聹,noisy:earwax
舸,large boat
艤,landing a boat
莪,type of thistle
荼,a weed
蕷,yam
蜍,toad
訶,scold
諍,quarrel
謌,sing:recite:carol:poem:tanka:slander:defame
軻,difficult progress
迹,mark:print:impression
酊,intoxication
錚,gong
隸,servant:prisoner:criminal:follower
雋,excel
餘,surplus:excess:remainder
鵝,goose
鵞,goose
蔭,shade:shadow:backing assistance
院,Inst.:institution:temple:mansion:school
陰,shade:yin:negative:sex organs:secret:shadow
云,say
雲,cloud
会,meeting:meet:party:association:interview:join
快,cheerful:pleasant:agreeable:comfortable
絵,picture:drawing:painting:sketch
顎,jaw:chin:gill
巻,scroll:volume:book:part:roll up:wind up:tie:coil:counter for texts (or book scrolls)
完,perfect:completion:end
監,oversee:official:govt office:rule:administer
艦,warship
莞,smiling:reed used to cover tatami
鑑,specimen:take warning from:learn from
関,connection:barrier:gateway:involve:concerning
玩,play:take pleasure in:trifle with:make sport of
頑,stubborn:foolish:firmly
侠,tomboy:chivalry
峡,gorge:ravine
均,level:average
芸,technique:art:craft:performance:acting:trick:stunt
決,decide:fix:agree upon:appoint
訣,separation:part:secret
券,ticket
圏,sphere:circle:radius:range
元,beginning:former time:origin
袴,men's formal divided skirt
誇,boast:be proud:pride:triumphantly
跨,be:sit or stand astride:extend over:straddle
五,five
魂,soul:spirit
些,a little bit:sometimes
咲,blossom:bloom
皐,swamp:shore
鯖,mackerel
錆,rust:tarnish
三,three
讃,praise:title on a picture
賛,approve:praise:title or inscription on picture:assist:agree with
竺,bamboo
勝,victory:win:prevail:excel
情,feelings:emotion:passion:sympathy:circumstances:facts
仁,humanity:virtue:benevolence:charity:man:kernel
晴,clear up
清,pure:purify:cleanse:exorcise:Manchu dynasty
精,refined:ghost:fairy:energy:vitality:semen:excellence:purity:skill
請,solicit:invite:ask
青,blue:green
脊,stature:height
替,exchange:spare:substitute:per-
樗,Japanese bead tree
鍔,sword guard:kettle brim
転,revolve:turn around:change
伝,transmit:go along:walk along:follow:report:communicate:legend:tradition
曇,cloudy weather:cloud up
那,what?
弐,II:two:second
溌,sprinkle:lively:vigorous
発,departure:discharge:publish:emit:start from:disclose:counter for gunshots
醗,fermentation:brewing
桧,Japanese cypress
夫,husband:man
扶,aid:help:assist
芙,lotus:Mt Fuji
頬,cheeks:jaw
俣,crotch:thigh:groin:(kokuji)
靖,peaceful
伶,actor
隷,slave:servant:prisoner:criminal:follower
亘,span:range:extend over
鰐,alligator:crocodile
弍,two
亞,rank:follow
亟,fast:quick:sudden
倩,carefully:attentively:profoundly
僵,fall down:collapse
儖,ugly
冀,hope for:wish:Hebei province
冑,helmet
冕,crown
冦,foe:enemy:revenge:grudge:feud
冱,freeze:be cold:be clear:attain skill
刳,clear:serene:cold
劵,become fatigued:stop
匏,gourd
卷,volume:book:part
咢,outspokenly
圈,sphere:circle:radius:range
堊,whitewash
壜,bottle:vial:jar
壼,palace corridor or passageway
夬,decide:determine:archery glove
夸,boast
佞,flattery:insincerity
娜,graceful
寇,bandits:thieves:enemy:invade
彗,comet
惡,bad:evil
惓,be respectful:grow tired
愕,surprised:frightened
惷,confusion:foolish
愃,abundant:generous
抉,gouge:hollow out:bore:pry
揆,category:plan:drumstick
撥,brush up:reject:exclude:eliminate:bone plectrum
攘,chase away:steal
攤,open:broaden:apportion
晉,advance
暄,warm weather
桍,type of tree:empty
梛,type of tall evergreen tree
椏,crotch of a tree
椦,wickerwork
槿,rose of Sharon
樸,bark of a tree
檻,pen:corral:cell:jail
欖,Chinese olive tree
浣,wash
渕,edge
滕,rising water
猜,envy:jealousy:doubt
畉,till:cultivate
癈,chronic illness:getting crippled
癪,spasms:(kokuji)
癸,10th calendar sign
皖,Venus:morning star:place name
眷,look around:regard affectionately
睛,pupil of the eye
瞎,blind eye:one eye
碾,mortar:grind
磧,expanse of sand:pebbly beach
簀,rough mat (reeds)
籃,basket
籐,rattan:cane
籘,climbing plants:vines:cane
紜,disorder:confusion
絳,red
綣,attachment:affection
縉,thin red cloth:high officer
縢,cross-stitch:darn
繧,a method of dyeing
繿,rags
纉,succeed to:inherit
纛,flag:banner
纜,hawser
罎,bottle:vial:jar
冐,risk:brave:dare:face:defy:(diseases) attack:damage:desecrate:assume (a name)
胯,crotch
膩,smooth:oily
艱,difficult:trying:be distressed:parent's funeral ceremony:mourning:perilous
芫,type of vetch
菁,turnip
萼,calyx:cup
蕚,calyx:cup
蒄,type of plant
蓁,dense growth:thicket
薑,ginger
虧,wane (moon)
蜷,an edible river snail
蜻,dragonfly
蠢,wriggle
袂,sleeve:foot (of hill):edge
襤,rags
諤,speaking the truth
諠,forget:noisy
譛,slander:false accusation
豢,raising domestic animals
貳,two
趺,foot:calyx:sitting in the lotus position
輦,palanquin
鄂,place name:frankly
鎹,clamp:(kokuji)
鐚,coin of smallest value
鑒,take warning from:learn from:pattern:example
鑚,make fire by rubbing sticks
阮,place name
靆,cloud cover
靉,clouds
鰆,Spanish mackerel
鴃,shrike
鶚,osprey
麩,light wheat-gluten bread
麸,light wheat-gluten bread
齶,jaw
哀,pathetic:grief:sorrow:pathos:pity:sympathize
虻,gadfly:horsefly
依,reliant:depend on:consequently:therefore:due to
衣,garment:clothes:dressing
亥,sign of the hog:9-11PM:twelfth sign of the Chinese zodiac
育,bring up:grow up:raise:rear
影,shadow:silhouette:phantom
液,fluid:liquid:juice:sap:secretion
円,circle:yen:round
劾,censure:criminal investigation
咳,cough:clear throat
害,harm:injury
該,above-stated:the said:that specific
骸,bone:body:corpse
核,nucleus:core:kernel
較,contrast:compare
割,proportion:comparatively:divide:cut:separate:split
轄,control:wedge
顔,face:expression
棄,abandon:throw away:discard:resign:reject:sacrifice
毅,strong
喫,consume:eat:drink:smoke:receive (a blow)
亨,pass through:go smoothly
享,enjoy:receive:undergo:answer (phone):take:get:catch
京,capital:10**16
契,pledge:promise:vow
景,scenery:view
鯨,whale
潔,undefiled:pure:clean:righteous:gallant
憲,constitution:law
牽,pull:tug:drag:lead by hand
弦,bowstring:chord:hypotenuse
玄,mysterious:occultness:black:deep:profound
絃,string:cord:samisen music
舷,gunwale
檎,apple
交,mingle:mixing:association:coming & going
佼,beautiful:clever:deceive:sly
倖,happiness:luck
効,merit:efficacy:efficiency:benefit
坑,pit:hole
幸,happiness:blessing:fortune
慌,disconcerted:be confused:lose one's head
抗,confront:resist:defy:oppose
杭,stake:post:picket
校,exam:school:printing:proof:correction
稿,draft:copy:manuscript:straw
絞,strangle:constrict:wring
膏,fat:grease:lard:paste:ointment:plaster
航,navigate:sail:cruise:fly
郊,outskirts:suburbs:rural area
高,tall:high:expensive
壕,trench:dugout:air raid shelter
濠,moat:ditch:canal:Australia
豪,overpowering:great:powerful:excelling:Australia
麹,malt:yeast
刻,engrave:cut fine:chop:hash:mince:time:carving
債,bond:loan:debt
裁,tailor:judge:decision:cut out (pattern)
鮫,shark
姉,elder sister
市,market:city:town
宍,muscles:meat
芝,turf:lawn
縞,stripe
充,allot:fill
銃,gun:arms
淳,pure
醇,pure sake':purity:affection
商,make a deal:selling:dealing in:merchant
壌,lot:earth:soil
嬢,lass:girl:Miss:daughter
穣,good crops:prosperity:10**28
譲,defer:turnover:transfer:convey
醸,brew:cause
新,new
薪,fuel:firewood:kindling
親,parent:intimacy:relative:familiarity:dealer (cards)
翠,green:kingfisher
衰,decline:wane:weaken
嵩,be aggravated:grow worse:grow bulky:swell
畝,furrow:thirty tsubo:ridge:rib
積,volume:product (x*y):acreage:contents:pile up:stack:load:amass
績,exploits:achievements:unreeling cocoons
責,blame:condemn:censure
跡,tracks:mark:print:impression
蹟,remains:traces:footprint
疏,pass through:note:commentary:estrangement:sparseness:neglect:penetrate
素,elementary:principle:naked:uncovered
爽,refreshing:bracing:resonant:sweet:clear
卒,graduate:soldier:private:die
鐸,large hand bell
壇,podium:stage:rostrum:terrace
檀,cedar:sandlewood:spindle tree
畜,livestock:domestic fowl and animals
蓄,amass:raise:hoard:store
嫡,legitimate wife:direct descent (non-bastard)
漬,pickling:soak:moisten:steep
帝,sovereign:the emperor:god:creator
締,tighten:tie:shut:lock:fasten
諦,truth:clarity:abandon:give up
蹄,hoof
摘,pinch:pick:pluck:trim:clip:summarize
敵,enemy:foe:opponent
滴,drip:drop
適,suitable:occasional:rare:qualified:capable
鏑,arrowhead
徹,penetrate:clear:pierce:strike home:sit up (all night)
撤,remove:withdraw:disarm:dismantle:reject:exclude
轍,rut:wheel track
統,overall:relationship:ruling:governing
毒,poison:virus:venom:germ:harm:injury:spite
惇,sincere:kind:considerate
敦,industry:kindliness
灘,open sea
難,difficult:impossible:trouble:accident:defect
肺,lungs
抜,slip out:extract:pull out:pilfer:quote:remove:omit
噺,talk:(kokuji)
塙,projecting tableland or mountain
蛮,barbarian
彦,lad:boy (ancient)
変,unusual:change:strange
報,report:news:reward:retribution
褒,praise:extol
亡,deceased:the late:dying:perish
傍,bystander:side:besides:while:nearby:third person
忘,forget
忙,busy:occupied:restless
蓑,straw raincoat
椋,type of deciduous tree:grey starling
冥,dark
妄,delusion:unnecessarily:without authority:reckless
盲,blind:blind man:ignoramus
夜,night:evening
擁,hug:embrace:possess:protect:lead
璃,glassy:lapis lazuli
裏,back:amidst:in:reverse:inside:palm:sole:rear:lining:wrong side
離,detach:separation:disjoin:digress
率,ratio:rate:proportion:%:factor:lead:spearhead:command
掠,pillage:rob:graze:skim:sweep over:cheat:hint
流,current:a sink:flow:forfeit
琉,precious stone:gem:lapis lazuli
硫,sulphur
亮,clear:help
涼,refreshing:nice and cool
諒,fact:reality:understand:appreciate
恋,romance:in love:yearn for:miss:darling
六,six
藁,straw
湾,gulf:bay:inlet
亢,high spirits
亰,capital city
亶,truly:wholly:cordial
伉,same kind:compare with
倅,son:my son
偐,fake:counterfeit
傚,imitate:follow:emulate
僭,boastfully usurp
儕,companion
凉,nice and cool
凛,cold
劑,medicine:drug:dose
勍,strong:fierce
勣,merit:achievement
卞,law:rule:rash:hasty
吭,throat:neck:pivot
呟,mutter:grumble:murmur
咬,bite:gnaw:chew:gear with:dash against
啻,incomparable:merely
啼,bark:chirp:cry
喨,clear voice
嘖,scold:torment:chastise
嚆,call
囃,play (music):accompany:beat time:banter:jeer:applaud
囓,gnaw
圉,prison:horse tender:ostler
垓,border:boundary:staircase:hundred quintillion
埣,barren land
壞,demolition:break:destroy
壅,plug up:shut up
奕,large
孩,baby:infancy
幎,cloth covering
廩,rice storehouse
弃,reject:abandon:discard
弯,curve:stretching a bow
悴,becoming emaciated:son
慱,grieving
憬,yearn for:aspire to:admire
懌,rejoice
懷,pocket:feelings:heart:yearn:miss someone:become attached to:bosom:breast
懍,fear:tremble
抃,strike with hand
撩,disorder
擒,capture:a captive
擅,self-indulgent
擇,select:choose:pick out
撻,whip:flog:strike
擠,push aside
攅,gather:come together
效,result:effect:effectiveness
敲,strike:beat:hit
旁,RHS of character:at same time
旒,counter for flags
暝,dark
暾,sunrise:sun's rays
暸,clear
柬,select:pick out
梳,comb (hair)
椁,outer box for a coffin
楔,wedge:arrowhead
楴,ornamental hairpin
楝,Japanese bead tree
槁,die (vegetation)
榠,type of tree
榜,rudder:oar:name plate
槨,outer box for a coffin
榱,rafter
毓,bring up:grow up:raise:rear
毫,fine hair:brush:not at all
氈,woollen cloth or rug
沛,big rain:swamp
淬,anneal:quench:temper
滂,flowing:vast
溟,dark:ocean
滾,flow:boil
漓,dropping:soak in
潦,heavy rainfall:runoff
澤,swamp
濟,to help:aid:relieve:to ferry:cross
燉,fiery
燎,burn:bonfire
燵,foot warmer:(kokuji)
犒,thanks:reward
狡,cunning:sly:crafty:niggardly
猝,sudden
甎,floor tiles
甕,jar:jug:vat
畆,Chinese land measure:fields
痃,cramps
瘁,take sick:fatigue
皎,white:shining
眩,faint:dizzy
睾,testicles
瞑,sleep:dark:close eyes
碎,break:smash:broken:busted
磅,become obstructed:pound (sterling, lb)
磚,tile
禊,Shinto purification ceremony
稟,salary in rice
禀,salary in rice
稾,draft:manuscript:rough copy
簑,a coat raincoat
簔,straw raincoat
籬,rough-woven fence:bamboo hedge
粹,pure:unadulterated:select
繚,put on:twist around
繹,pull out
纐,tie-dyeing:(kokuji)
罔,net
羶,smelling like a sheep
肓,interior region of the body too deep to be reached by acupuncture
腋,armpit:side
膀,bladder
膵,pancreas:(kokuji)
芒,pampas grass:beard (grain)
萃,collect:gather:assemble
蒂,peduncle:stem of plants
蒿,mugwort
蒡,burdock
蔬,greens:vegetables
薺,water-chestnuts:caltrop
蛟,dragon
螟,injurious parasite
蟀,cricket:grasshopper
衒,show off:display:pretend
袞,imperial robes
袤,length
裹,wrap:pack up:cover:conceal
襃,praise:extol
諄,tedious
謗,slander:disparage:censure:criticize
謫,crime
譯,translate:decode:encode
豁,empty
齎,bring:take:bring about
躋,climb
逹,arrive at:reach:intelligent
醉,get drunk:feel sick:poisoned:elated:spellbound
醯,vinegar
釋,explain
鉉,handle
鍄,kind of percussion instrument:clamp
鎬,sword-blade ridges
鐓,ferrule:butt end
鐐,silver:platinum:chains
閙,noisy
闥,gate
雍,softening:mitigation
雜,mixed:blended:mix:mingle
霈,big rain:long rainy spell
霽,clear up
齏,dishes seasoned with vinegar or miso
韲,dress (salad) vegetables
頏,alight:land:throat:neck
顫,shudder
餃,gyoza
駭,be surprised
駮,spots
驛,station
驪,black horse
髞,hurry:high
鬧,quarrel:dispute hotly
魑,mountain spirits
鵁,night heron
鶉,quail
鵺,fabulous night bird:chimera
鷯,wren
黐,bird-lime
黥,tatooing
齧,gnaw:nibble:munch:have a smattering of
凜,cold:strict:severe
臥,bend down:bow:lie prostrate
渓,mountain stream:valley
鶏,chicken
欠,lack:gap:fail:yawning radical (no. 76)
倹,frugal:economy:thrifty
剣,sabre:sword:blade:clock hand
検,examination:investigate
険,precipitous:inaccessible place:impregnable position:steep place:sharp eyes
験,verification:effect:testing
鹸,saltiness
庚,7th:7th calendar sign
傘,umbrella
囚,captured:criminal:arrest:catch
潜,submerge:conceal:hide:lower (voice):hush
閃,flash:brandish
朕,majestic plural:imperial we
槻,Zelkova tree
内,inside:within:between:among:house:home
肉,meat
納,settlement:obtain:reap:pay:supply:store
病,ill:sick
丙,third class:3rd:3rd calendar sign
柄,design:pattern:build:nature:character:handle:crank:grip:knob:shaft
撲,slap:strike:hit:beat:tell:speak
从,two people
仄,be seen dimly:suggest:intimate:faint:stupid:hint
俎,altar of sacrifice:chopping board
僉,all
僣,boastfully usurp
儉,economy:thrifty
刔,scoop out:gouge
劍,sword
匳,cosmetics box
吶,stutter
咎,blame:censure:reprimand
噬,bite
嗇,miserly:stingy:sparing
墻,fence:hedge
夐,far:distant
夾,insert between
姨,younger sister
孅,delicate
峽,gorge:strait:ravine:isthmus
嶮,inaccessible place:impregnable position:steep place:sharp eyes
巫,sorcerer:medium:shrine maiden
從,from:by:since:whence:through
怏,dissatisfaction:grudge
愴,sad:pathetic
懺,regret:repent:confess sins
挾,put between:insert:jam:get caught:sandwich
斂,tighten:stiffen
昃,decline:go down:sunset
暎,sun beginning decline:reflect
檢,check:examine
檣,mast
歛,tighten
殃,misfortune:disaster:calamity
殲,massacre
泱,billowy clouds:deep and broad
泅,swim
洟,tear:nasal discharge
浹,far and wide:cycle:period
滿,fill:full:satisfied
瀲,brimming:rippling
炳,clear & bright
牆,fence:hedge:wall
狹,narrow:contract:reduce:tight:limited
璞,uncut gem:unpolished gem
痍,injury
瞼,eyelids
秧,rice:seedlings
穡,harvest
筴,insert between:chopsticks:divining sticks:plan
筮,(water) divining equipment
篋,box
簽,label:signature
籤,lottery:raffle
縱,indulge in:give free reign to
纖,fine:slender:thin kimono
羮,hot soup
肭,new moon
腴,fat:grease:growing fat
臉,area between eye and cheek:face
臾,a little while:urging
艢,bow:stern
莢,pod:hull:husk:shell:case
萸,oleaster:river ginger tree
蓙,mat:matting:(kokuji)
薔,water pepper
蚋,gnat:sand fly
衲,mend:priestly vestments:priest
覡,diviner:medium
訥,stutter
誣,slander
諛,flatter
讖,omen
賚,gift
蹐,stealthy footsteps
蹼,webfoot:web
銕,iron:strong:solid:firm
鋏,scissors
陋,narrowness:meanness:humbleness
陜,narrow
陝,place name
險,inaccessible place:impregnable position:steep place:sharp eyes
靈,soul:spirit
靹,archer's arm protector
鞅,martingale:breast harness:saddle girth:fetter:shackle:carry on back
鞆,archer's arm protector:(kokuji)
驗,verification:effect:testing
鰮,sardine
鵐,unmottled quail
鶺,wagtail
齒,tooth:cog
齡,age
綾,design:figured cloth:twill
允,license:sincerity:permit
胤,descendent:issue:offspring
厩,barn:stable
鋭,pointed:sharpness:edge:weapon:sharp:violent
悦,ecstasy:joy:rapture
閲,review:inspection:revision
塊,clod:lump:chunk:clot:mass
魁,charging ahead of others
界,world:boundary
芥,mustard:rape:dust:trash:rubbish
隔,isolate:alternate:distance:separate:gulf
兜,helmet:head piece
竃,kitchen stove:furnace:oven:hearth
