kanji,num,meaning,radicals,kanji_in_concept_meaning,h2_concept,h3_concept
替,1306,exchange,二亠人大日,,,
貸,1307,lend,弋貝亻,,,
隊,1308,group,豕丷阝.,,,
滞,1309,stagnate,冖巾氵,,,
態,1310,condition,匕厶心月,,,
戴,1311,be crowned with,｜二八土戈田,,,
大,1312,large,,large,Physical_Attributes_and_Properties,Form_and_Shape_(形)
代,1313,substitute,弋亻,,,
台,1314,pedestal,厶口,counter for machines and vehicles,Numbers_(数),Counters_(個)
第,1315,ordinal number prefix,弓竹,ordinal marker,Numbers_(数),Counting_(計)_&_Sequence_(序)
題,1316,topic,日疋貝頁,topic,Human_activities,Language_(語)_and_Communication
滝,1317,waterfall,田立氵竜,waterfall,Nature,Land_(陸)_and_Topography
宅,1318,home,丿乙宀,,,
択,1319,choose,尸扌,,,
沢,1320,swamp,尸氵,swamp,Nature,Land_(陸)_and_Topography
卓,1321,eminent,十卜日,table,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
拓,1322,clear (the land),口石扌,,,
託,1323,consign,丿乙言,,,
濯,1324,laundry,彐隹氵,,,
諾,1325,consent,丿口言艹,,,
濁,1326,voiced,勹网虫氵,,,
但,1327,however,日亻,,,
達,1328,attain,土玉羊丷辶,,,
脱,1329,undress,儿口月丷,,,
奪,1330,rob,大寸隹,,,
棚,1331,shelf,月木,,,
誰,1332,who (question word),言隹,,,
丹,1333,cinnabar,丶丿亅,cinnabar,Nature,Natural_Substances
旦,1334,daybreak,日,sunrise,Time_(時),Divisions_of_the_Day
担,1335,shouldering,日扌,,,
単,1336,simple,十田尚,,,
炭,1337,charcoal,厂山火,coal,Nature,Natural_Substances
胆,1338,gall bladder,日月,gall bladder,Body_(身),Torso_and_organs
探,1339,grope,儿冖木扌,,,
淡,1340,thin,火氵,,,
短,1341,short,口矢豆丷,short,Physical_Attributes_and_Properties,Form_and_Shape_(形)
嘆,1342,sigh,丿口艹,,,
端,1343,edge,山立而,"end, tip",Physical_Attributes_and_Properties,Form_and_Shape_(形)
綻,1344,rip,宀疋糸,,,
誕,1345,nativity,丿廴止言,,,
鍛,1346,forge,殳金,,,
団,1347,group,囗寸,,,
男,1348,male,力田,man,People_(人),General
段,1349,steps,｜殳,,,
断,1350,cut off,｜斤米,,,
弾,1351,bullet,十弓田尚,,,
暖,1352,warmth,丿又日爪,warm,Physical_Attributes_and_Properties,Miscellaneous_properties
談,1353,discuss,火言,discuss,Human_activities,Language_(語)_and_Communication
壇,1354,podium,亠口囗土日,,,
地,1355,ground,土也,ground,Nature,Natural_Substances
池,1356,pond,氵也,pond,Nature,Land_(陸)_and_Topography
知,1357,know,口矢,know,Human_activities,Culture
値,1358,value,｜十目亻,price,Human_activities,Money_(銭)_and_Commerce_(商)
恥,1359,shame,心耳,shame,Emotions_and_Senses_(感),Emotions_(情)
致,1360,(to) do,厶土攴至,,,
遅,1361,slow,尸玉羊丷辶,late,Time_(時),
痴,1362,stupid,口疒矢,,,
稚,1363,immature,禾隹,,,
置,1364,put,十目网,,,
緻,1365,fine (not coarse),厶土攴糸至,fine,Physical_Attributes_and_Properties,Miscellaneous_properties
竹,1366,bamboo,,bamboo,Nature,Plants_(植)_and_Trees_(樹)
畜,1367,livestock,亠幺玄田,livestock,Nature,Animals_(獣)
逐,1368,pursue,豕辶,,,
蓄,1369,amass,亠幺玄田艹,,,
築,1370,fabricate,丶几工木竹,,,
秩,1371,regularity,丿人土大禾,,,
窒,1372,plug up,儿厶土宀穴至,nitrogen,Nature,Natural_Substances
茶,1373,tea,木个艹,tea,Food_(食)_and_Drink_(飲),
着,1374,wear,丿玉目羊丷,to wear,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
嫡,1375,legitimate wife,亠冂十口女立丷啇,legitimate wife/family,People_(人),Family_(家_/_族)
中,1376,middle,｜口,middle,Directions_(方)_and_Spatial_Relationships,
仲,1377,relationship,｜口亻,intermediary,People_(人),Roles_and_status
虫,1378,insect,,,,
沖,1379,open sea,｜口氵,"high seas, offshore",Nature,Land_(陸)_and_Topography
宙,1380,mid-air,｜宀日田,,,
忠,1381,loyalty,｜口心,,,
抽,1382,pluck,｜日田扌,,,
注,1383,pour,丶玉氵,,,
昼,1384,daytime,丶尸日,daytime,Time_(時),Divisions_of_the_Day
柱,1385,pillar,丶木玉,,,
衷,1386,inmost,十口衣,,,
酎,1387,sake,寸酉,sake,Food_(食)_and_Drink_(飲),
鋳,1388,casting,丿亠土寸金,casting,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
駐,1389,stop-over,丶玉馬,,,
著,1390,renowned,日老艹,,,
貯,1391,savings,亅宀貝,savings,Human_activities,Money_(銭)_and_Commerce_(商)
丁,1392,ward,亅,miscellaneous counter,Numbers_(数),Counters_(個)
弔,1393,condolences,｜弓,,,
庁,1394,government office,亅广,,,
兆,1395,"portent, trillion",儿冫,"1,000,000,000,000",Numbers_(数),
町,1396,town,亅田,town,Artificial_Structures_and_Products,Cities_(市)
長,1397,long,,leader,People_(人),Roles_and_status
挑,1398,challenge,儿冫扌,,,
帳,1399,account book,巾長,,,
張,1400,stretch,弓長,,,
彫,1401,carve,冂口土彡,,,
眺,1402,stare,儿冫目,,,
釣,1403,angling,丶勹金,,,
頂,1404,place on the head,亅貝頁,,,
鳥,1405,bird,灬,,,
朝,1406,morning,十日月,morning,Time_(時),Divisions_of_the_Day
貼,1407,paste,卜口貝,,,
超,1408,transcend,刀口土走,,,
腸,1409,intestines,日月勿,intestines,Body_(身),Torso_and_organs
跳,1410,hop,儿冫口足,,,
徴,1411,indications,山彳攴玉,,,
嘲,1412,ridicule,十口日月,,,
潮,1413,tide,十日月氵,tide,Nature,Weather
澄,1414,lucidity,口癶豆丷氵,,,
調,1415,investigate,冂口土言,,,
聴,1416,listen,十心网耳,listen,Emotions_and_Senses_(感),Senses
懲,1417,penal,山彳心攴玉,,,
直,1418,straight,｜十目,,,
勅,1419,imperial order,｜力口木,,,
捗,1420,make progress,丿小止扌,,,
沈,1421,sink,尢氵,,,
珍,1422,rare,彡玉个,,,
朕,1423,majestic plural,人大月丷,,,
陳,1424,exhibit,｜日木田阝.,,,
賃,1425,fare,玉貝亻,fee or wages,Human_activities,Money_(銭)_and_Commerce_(商)
鎮,1426,tranquilize,八十目金丷,,,
追,1427,follow,｜口辶,,,
椎,1428,oak,木隹,backbone,Body_(身),Torso_and_organs
墜,1429,crash,土豕丷阝.,to fall,Directions_(方)_and_Spatial_Relationships,Movement
通,1430,pass through,用マ辶,,,
痛,1431,pain,用疒マ,pain,Body_(身),Health_(体)
塚,1432,hillock,冖土豕,,,
漬,1433,pickling,亠土貝氵,pickle,Food_(食)_and_Drink_(飲),
坪,1434,two-mat area,土干丷,two-mat area (around 3.3 m²),Numbers_(数),Units_of_Measurement_(測)
爪,1435,claw,,nail,Body_(身),Limbs_(肢)
鶴,1436,crane,宀隹鳥灬,crane,Nature,Animals_(獣)
低,1437,low,氏亻,,,
呈,1438,display,口玉,,,
廷,1439,courts,士廴玉,,,
弟,1440,younger brother,｜丿弓丷,younger brother,People_(人),Family_(家_/_族)
定,1441,decide,宀疋,,,
底,1442,bottom,广氏,bottom,Directions_(方)_and_Spatial_Relationships,
抵,1443,resist,氏扌,,,
邸,1444,residence,氏.阝,,,
亭,1445,pavilion,亅亠冖口,,,
貞,1446,upright,卜貝,,,
帝,1447,sovereign,亠冖巾立丷,Mikado or emperor,People_(人),Roles_and_status
訂,1448,revise,亅言,,,
庭,1449,garden,广廴玉,,,
逓,1450,relay,｜二厂巾辶,,,
停,1451,halt,亅亠冖口亻,,,
偵,1452,spy,卜貝亻,,,
堤,1453,dike,土日疋,embankment,Nature,Land_(陸)_and_Topography
提,1454,present,日疋扌,,,
程,1455,extent,口玉禾,,,
艇,1456,rowboat,廴玉舟,ship,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
締,1457,tighten,亠冖巾立糸丷,,,
諦,1458,abandon,亠冖巾立言丷,,,
泥,1459,mud,匕尸氵,mud,Nature,Natural_Substances
的,1460,target,丶勹白,,,
笛,1461,flute,｜日田竹,flute,Human_activities,Culture
摘,1462,pinch,亠冂十口立丷扌啇,,,
滴,1463,drip,亠冂十口立丷氵啇,,,
適,1464,suitable,亠冂十口立丷辶啇,,,
敵,1465,enemy,亠冂十口攴立丷啇,enemy,Human_activities,War_(戦)
溺,1466,drown,冫弓氵,,,
迭,1467,transfer,｜丿大牛矢辶,,,
哲,1468,philosophy,口斤扌,,,
鉄,1469,iron,丿二大矢金,iron,Nature,Natural_Substances
徹,1470,penetrate,亠厶彳攴月,,,
撤,1471,remove,亠厶攴月扌,,,
天,1472,heaven,大,"heaven, sky",Nature,Sky
典,1473,code,｜八日,,,
店,1474,shop,卜口广,,,
点,1475,point,卜口灬,,,
展,1476,expand,｜二尸衣,,,
添,1477,annexed,丿大心氵,,,
転,1478,revolve,二厶車,,,
塡,1479,fill in,,,,
田,1480,rice paddy,,rice paddy,Nature,Land_(陸)_and_Topography
伝,1481,transmit,二厶亻,transmit,Human_activities,Language_(語)_and_Communication
殿,1482,Mr.,｜二八尸殳,,,
電,1483,electricity,乙田雨,electricity,Nature,Weather
斗,1484,Big Dipper,,(around 18 l),Numbers_(数),Units_of_Measurement_(測)
吐,1485,spit,口土,,,
妬,1486,jealousy,口女石,"envy, jealousy",Emotions_and_Senses_(感),Emotions_(情)
徒,1487,junior,土彳走,gang or junior,People_(人),General
途,1488,route,亅八木个辶,,,
都,1489,metropolis,日老.阝,metropolis,Artificial_Structures_and_Products,Cities_(市)
渡,1490,transit,又广氵,,,
塗,1491,paint,亅八土木个氵,paint,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
賭,1492,gamble,日老貝,gamble,Human_activities,Money_(銭)_and_Commerce_(商)
土,1493,soil,,earth,Nature,Natural_Substances
奴,1494,guy,又女,"servant, fellow",People_(人),Roles_and_status
努,1495,toil,力又女,,,
度,1496,degrees,又广,number of times,Time_(時),
怒,1497,angry,又女心,anger,Emotions_and_Senses_(感),Emotions_(情)
刀,1498,sword,,,,
冬,1499,winter,丶夂攴,Winter,Time_(時),Seasons_(季_/_候)
灯,1500,lamp,亅火,lamp,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
当,1501,hit,彐尚,,,
投,1502,throw,殳扌,,,
豆,1503,beans,口丷,bean,Food_(食)_and_Drink_(飲),
東,1504,east,｜日木田,East,Directions_(方)_and_Spatial_Relationships,
到,1505,arrival,厶土至刂,,,
逃,1506,escape,儿冫辶,,,
倒,1507,overthrow,厶土至亻刂,to reverse,Directions_(方)_and_Spatial_Relationships,Movement
凍,1508,frozen,｜冫日木田,,,
唐,1509,T'ang,｜口广彐,,,
島,1510,island,山白鳥,island,Nature,Land_(陸)_and_Topography
桃,1511,peach tree,儿冫木,peach,Nature,Plants_(植)_and_Trees_(樹)
討,1512,chastise,寸言,attack,Human_activities,War_(戦)
透,1513,transparent,丿禾乃辶,,,
党,1514,group,儿冖口尚,,,
悼,1515,lament,十卜日忄,,,
盗,1516,steal,冫欠皿,,,
陶,1517,pottery,勹缶阝.,pottery,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
塔,1518,pagoda,口土个艹,,,
搭,1519,board,口个扌艹,to board or load,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
棟,1520,ridgepole,｜日木田,,,
湯,1521,hot water,｜日氵勿,,,
痘,1522,pox,口疒豆丷,pox,Body_(身),Health_(体)
登,1523,climb,口癶豆丷,,,
答,1524,answer,口竹个,answer,Human_activities,Language_(語)_and_Communication
等,1525,class,土寸竹,,,
筒,1526,cylinder,冂口竹,,,
統,1527,unite,亠儿厶糸,,,
稲,1528,rice plant,｜日爪禾,rice plant,Nature,Plants_(植)_and_Trees_(樹)
踏,1529,step,口日水足,,,
糖,1530,sugar,口广米,sugar,Food_(食)_and_Drink_(飲),
頭,1531,head,口豆貝頁丷,"counter for animals, large",Numbers_(数),Counters_(個)
謄,1532,mimeograph,｜月言,,,
藤,1533,wisteria,｜月水艹,wisteria,Nature,Plants_(植)_and_Trees_(樹)
闘,1534,fight,口寸豆門丷,battle,Human_activities,War_(戦)
騰,1535,inflation,月馬丷,,,
同,1536,same,冂口,,,
洞,1537,den,冂口氵,,,
胴,1538,trunk,冂口月,torso,Body_(身),Torso_and_organs
動,1539,move,｜力日里,,,
堂,1540,public chamber,冖口土尚,,,
童,1541,juvenile,立里,juvenile,People_(人),General
道,1542,road,自首丷辶,,,
働,1543,work,｜力日亻,work,Human_activities,Money_(銭)_and_Commerce_(商)
銅,1544,copper,冂口金,copper,Nature,Natural_Substances
導,1545,guide,寸自丷辶,,,
瞳,1546,pupil,目立里,pupil,Body_(身),Head_(頭)_and_Neck_(首)
峠,1547,mountain peak,｜卜山,mountain pass,Nature,Land_(陸)_and_Topography
匿,1548,hide,丿匚口艹,,,
特,1549,special,土寸牛,,,
得,1550,acquire,寸彳日,,,
督,1551,coach,卜又小目,supervisor,People_(人),Roles_and_status
徳,1552,benevolence,十彳心网,,,
篤,1553,fervent,竹馬鳥灬,,,
毒,1554,poison,亠土毋,,,
独,1555,alone,虫犭,,,
読,1556,read,儿冖士士言,read,Human_activities,Language_(語)_and_Communication
栃,1557,horse chestnut,厂斤木,horse chestnut,Nature,Plants_(植)_and_Trees_(樹)
凸,1558,convex,｜冂凵,convex,Physical_Attributes_and_Properties,Form_and_Shape_(形)
突,1559,stab,儿大宀穴,,,
届,1560,deliver,｜尸日田,,,
屯,1561,barracks,丿乙凵,barracks,Human_activities,War_(戦)
豚,1562,pork,月豕,pig,Nature,Animals_(獣)
頓,1563,suddenly,貝頁屯,,,
貪,1564,covet,貝个,,,
鈍,1565,dull,金屯,,,
曇,1566,cloudy weather,二厶日雨,cloudy,Nature,Weather
丼,1567,bowl of food,｜丶丿二廾井,bowl,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
那,1568,what,二刀.阝,,,
奈,1569,what,大示,,,
内,1570,inside,人冂,inside,Directions_(方)_and_Spatial_Relationships,
梨,1571,pear tree,木禾刂,pear,Nature,Plants_(植)_and_Trees_(樹)
謎,1572,riddle,米言辶,,,
鍋,1573,pot,冂口金,pot,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
南,1574,south,冂十干丷,South,Directions_(方)_and_Spatial_Relationships,
軟,1575,soft,欠車,soft,Physical_Attributes_and_Properties,Miscellaneous_properties
難,1576,difficult,亠口大隹艹,,,
二,1577,two,,2,Numbers_(数),
尼,1578,nun,匕尸,Buddhist nun,Human_activities,Religion_(宗)_and_the_Supernatural_World
弐,1579,two (falsification prevention),二弋,,,
匂,1580,scent,勹匕,fragrance,Emotions_and_Senses_(感),Senses
肉,1581,meat,人冂,meat,Food_(食)_and_Drink_(飲),
虹,1582,rainbow,工虫,rainbow,Nature,Weather
日,1583,day,,sun,Nature,Sky
入,1584,enter,,in,Directions_(方)_and_Spatial_Relationships,
乳,1585,milk,乙子爪,milk,Food_(食)_and_Drink_(飲),
尿,1586,urine,尸水,urine,Body_(身),Bodily_Functions
任,1587,responsibility,丿士玉亻,,,
妊,1588,pregnancy,丿士女玉,pregnant,Body_(身),Bodily_Functions
忍,1589,endure,丶刀心,,,
認,1590,recognize,丶刀心言,,,
寧,1591,rather,亅宀心网,,,
熱,1592,heat,丶儿土九灬,heat,Nature,Weather
年,1593,year,丿干,year,Time_(時),Divisions_of_the_Year
念,1594,thought,｜心个,,,
捻,1595,twist,｜心个扌,,,
粘,1596,sticky,卜口米,sticky,Physical_Attributes_and_Properties,Miscellaneous_properties
燃,1597,burn,夕火犬灬,,,
悩,1598,trouble,凵尚忄,,,
納,1599,settlement,人冂糸,,,
能,1600,ability,匕厶月,,,
脳,1601,brain,凵月尚,brain,Body_(身),Head_(頭)_and_Neck_(首)
農,1602,farming,｜厂日衣辰,,,
濃,1603,concentrated,｜厂日衣辰氵,concentrated,Physical_Attributes_and_Properties,Miscellaneous_properties
把,1604,grasp,扌巴,,,
波,1605,wave,又皮氵,wave,Nature,Weather
派,1606,sect,厂斤氵,religious sect,Human_activities,Religion_(宗)_and_the_Supernatural_World
破,1607,rend,又口皮石,,,
覇,1608,hegemony,月襾革,,,
馬,1609,horse,,horse,Nature,Animals_(獣)
婆,1610,old woman,又女皮氵,grandmother,People_(人),Family_(家_/_族)
罵,1611,insult,网馬,,,
拝,1612,worship,｜干扌,,,
杯,1613,counter for cupfuls,｜丿木礻,cup,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
背,1614,back,匕月爿,back,Body_(身),Torso_and_organs
肺,1615,lungs,亠巾月,lung,Body_(身),Torso_and_organs
俳,1616,haiku,非亻,haiku,Human_activities,Culture
配,1617,distribute,己酉,,,
排,1618,repudiate,非扌,,,
敗,1619,failure,攴貝,,,
廃,1620,abolish,儿广癶,,,
輩,1621,comrade,車非,"fellow, comrade",People_(人),Roles_and_status
売,1622,sell,儿冖士,sell,Human_activities,Money_(銭)_and_Commerce_(商)
倍,1623,double,口立亻,"to double, times",Numbers_(数),Calculations_(算)
梅,1624,ume (Japanese apricot),木毋,plum,Nature,Plants_(植)_and_Trees_(樹)
培,1625,cultivate,口土立,,,
陪,1626,obeisance,口立阝.,,,
媒,1627,mediator,女木甘,,,
買,1628,buy,网貝,buy,Human_activities,Money_(銭)_and_Commerce_(商)
賠,1629,compensation,口立貝,,,
白,1630,white,,white,Physical_Attributes_and_Properties,Colours_(色)
伯,1631,chief,白亻,"aunt, uncle",People_(人),Family_(家_/_族)
拍,1632,clap,白扌,"clap, beat (music)",Human_activities,Culture
泊,1633,overnight,白氵,,,
迫,1634,urge,白辶,,,
剝,1635,peel,,,,
舶,1636,liner,白舟,oceangoing ship,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
博,1637,Dr.,丶十寸田,,,
薄,1638,dilute,丶十寸田氵艹,dilute or thin,Physical_Attributes_and_Properties,Miscellaneous_properties
麦,1639,wheat,夂,barley or wheat,Food_(食)_and_Drink_(飲),
漠,1640,vague,大日氵艹,desert,Nature,Land_(陸)_and_Topography
縛,1641,truss,丶十寸田糸,,,
爆,1642,explode,｜八日水火井,,,
箱,1643,box,木目竹,box,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
箸,1644,chopsticks,日竹老,chopsticks,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
畑,1645,farm,火田,field,Nature,Land_(陸)_and_Topography
肌,1646,texture,几月,skin,Body_(身),General_2
八,1647,eight,,8,Numbers_(数),
鉢,1648,bowl,木金,bowl,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
発,1649,departure,二儿癶,,,
髪,1650,hair of the head,夂彡長髟,hair,Body_(身),Head_(頭)_and_Neck_(首)
伐,1651,fell,戈亻,attack or punish,Human_activities,War_(戦)
抜,1652,slip out,亠又夂扌,,,
罰,1653,penalty,网言刂,,,
閥,1654,clique,戈門亻,,,
反,1655,anti-,厂又,,,
半,1656,half,｜二十丷,half,Numbers_(数),Counting_(計)_&_Sequence_(序)
氾,1657,spread out,乙卩氵,,,
犯,1658,crime,乙卩犭,,,
帆,1659,sail,丶几巾,sail,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
汎,1660,pan-,丶几氵,,,
伴,1661,consort,｜二十亻丷,,,
判,1662,judge,｜二十丷刂,,,
坂,1663,slope,厂又土,slope,Nature,Land_(陸)_and_Topography
阪,1664,heights,厂又阝.,,,
板,1665,board,厂又木,board or plate,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
版,1666,printing block,厂又片,,,
班,1667,squad,厂土玉,,,
畔,1668,paddy-ridge,｜二十田丷,levee,Nature,Land_(陸)_and_Topography
般,1669,generally,殳舟,,,
販,1670,marketing,厂又貝,marketing,Human_activities,Money_(銭)_and_Commerce_(商)
斑,1671,blemish,文玉,,,
飯,1672,meal,厂又食,"cooked rice, meal",Food_(食)_and_Drink_(飲),
搬,1673,conveyor,殳舟扌,to transport,Directions_(方)_and_Spatial_Relationships,Movement
煩,1674,anxiety,火貝頁,"anxiety, annoyance",Emotions_and_Senses_(感),Emotions_(情)
頒,1675,partition,八刀貝頁,,,
範,1676,pattern,乙卩竹車,,,
繁,1677,luxuriant,攴毋糸,,,
藩,1678,clan,田米釆氵艹,,,
晩,1679,nightfall,儿日免,evening,Time_(時),Divisions_of_the_Day
番,1680,one's turn,田米釆,numerical order,Numbers_(数),Counting_(計)_&_Sequence_(序)
蛮,1681,barbarian,亠虫,,,
盤,1682,tray,殳皿舟,board or disk,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
比,1683,compare,,,,
皮,1684,skin,又,skin,Body_(身),General_2
妃,1685,queen,女己,"princess, queen",People_(人),Roles_and_status
否,1686,negate,丿口,,,
批,1687,criticism,比扌,,,
彼,1688,he,又彳皮,he,People_(人),General
披,1689,expose,又皮扌,,,
肥,1690,fertilizer,月巴,,,
非,1691,negative,,,,
卑,1692,lowly,十田,,,
飛,1693,fly,,,,
疲,1694,exhausted,又疒皮,tired,Body_(身),Health_(体)
秘,1695,secret,丶丿心禾,,,
被,1696,incur,又皮衤,,,
悲,1697,sad,心非,,,
扉,1698,front door,戸非,,,
費,1699,expense,｜弓貝,expense,Human_activities,Money_(銭)_and_Commerce_(商)
碑,1700,tombstone,十口田石,,,
罷,1701,quit,匕厶月网,,,
避,1702,evade,十口尸立辛辶,,,
尾,1703,tail,尸毛,tail,Nature,Animals_(獣)
眉,1704,eyebrow,｜尸目,eyebrow,Body_(身),Head_(頭)_and_Neck_(首)
美,1705,beauty,大玉羊丷,,,
備,1706,provide,厂用亻艹,,,
微,1707,delicate,山彳攴,delicate,Physical_Attributes_and_Properties,Miscellaneous_properties
鼻,1708,nose,廾田自,nose,Body_(身),Head_(頭)_and_Neck_(首)
膝,1709,knee,月木水个,knee,Body_(身),Limbs_(肢)
肘,1710,elbow,寸月,elbow,Body_(身),Limbs_(肢)
匹,1711,equal,儿匚,counter for animals,Numbers_(数),Counters_(個)
必,1712,without fail,丿心,,,
泌,1713,ooze,丶丿心氵,,,
筆,1714,writing brush,竹聿,"writing, brush",Human_activities,Language_(語)_and_Communication
姫,1715,princess,女臣,princess,People_(人),Roles_and_status
百,1716,hundred,白,100,Numbers_(数),
氷,1717,ice,丶水,ice,Nature,Natural_Substances
表,1718,express,士衣,express,Human_activities,Language_(語)_and_Communication
俵,1719,bag,士衣亻,straw bag or sack,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
票,1720,ballot,示襾,,,
評,1721,evaluate,｜二言丷,,,
漂,1722,drift,示襾氵,,,
標,1723,signpost,木示襾,,,
苗,1724,seedling,田艹,seedling,Nature,Plants_(植)_and_Trees_(樹)
秒,1725,second (part of time),丿小禾,second,Time_(時),Divisions_of_the_Day
病,1726,sick,人冂疒,illness,Body_(身),Health_(体)
描,1727,sketch,田扌艹,,,
猫,1728,cat,田犭艹,cat,Nature,Animals_(獣)
品,1729,article,口,article,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
浜,1730,seacoast,八斤氵,beach,Nature,Land_(陸)_and_Topography
貧,1731,poor,八刀貝,,,
賓,1732,V.I.P.,丿宀小貝,"guest, VIP",People_(人),Roles_and_status
頻,1733,repeatedly,丿小止貝頁,,,
敏,1734,cleverness,攴毋,,,
瓶,1735,flower pot,瓦丷,bottle or jar,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
不,1736,non-,｜丶丿,,,
夫,1737,husband,二人大,husband or man,People_(人),Roles_and_status
父,1738,father,,father,People_(人),Family_(家_/_族)
付,1739,attach,寸亻,,,
布,1740,linen,丿巾,,,
扶,1741,aid,二人大扌,,,
府,1742,urban prefecture,寸广亻,,,
怖,1743,dreadful,丿巾忄,dread,Emotions_and_Senses_(感),Emotions_(情)
阜,1744,mound,十,hill,Nature,Land_(陸)_and_Topography
附,1745,affixed,寸亻阝.,,,
訃,1746,obituary,卜言,obituary,Human_activities,Language_(語)_and_Communication
負,1747,lose,勹貝,,,
赴,1748,proceed,卜土走,to visit,Directions_(方)_and_Spatial_Relationships,Movement
浮,1749,floating,子爪氵,,,
婦,1750,lady,冖女巾彐,wife or lady,People_(人),Roles_and_status
符,1751,token,寸竹亻,,,
富,1752,rich,口宀田,rich,Human_activities,Money_(銭)_and_Commerce_(商)
普,1753,universal,｜二日丷,,,
腐,1754,rot,寸广肉亻,,,
敷,1755,spread,丶十攴方田,,,
膚,1756,skin,匕卜厂月田虍,skin,Body_(身),General_2
賦,1757,levy,弋止貝,installment or levy,Human_activities,Money_(銭)_and_Commerce_(商)
譜,1758,musical score,｜二日言丷,,,
侮,1759,scorn,毋亻,,,
武,1760,military,弋止,military,Human_activities,War_(戦)
部,1761,part,口立.阝,,,
舞,1762,dance,｜丿二夕舛無,,,
封,1763,seal,土寸,,,
風,1764,wind,丿冂虫,wind,Nature,Weather
伏,1765,prostrated,犬亻,,,
服,1766,clothes,卩又月,,,
副,1767,vice,口田刂,,,
幅,1768,breadth,口巾田,width,Physical_Attributes_and_Properties,Form_and_Shape_(形)
復,1769,again,夂彳日,,,
福,1770,luck,口田礻,,,
腹,1771,abdomen,夂日月,stomach,Body_(身),Torso_and_organs
複,1772,duplicate,夂日衤,,,
覆,1773,capsize,夂彳日襾,,,
払,1774,pay,厶扌,pay,Human_activities,Money_(銭)_and_Commerce_(商)
沸,1775,seethe,｜丿弓氵,,,
仏,1776,Buddha,厶亻,Buddha,Human_activities,Religion_(宗)_and_the_Supernatural_World
物,1777,thing,勹牛勿,,,
粉,1778,flour,刀米丷,flour,Food_(食)_and_Drink_(飲),
紛,1779,distract,八刀糸,confusion,Emotions_and_Senses_(感),Emotions_(情)
雰,1780,atmosphere,八刀雨,,,
噴,1781,erupt,十口貝艹,,,
墳,1782,tomb,十土貝艹,,,
憤,1783,aroused,十貝忄艹,indignation,Emotions_and_Senses_(感),Emotions_(情)
奮,1784,stirred up,大田隹,,,
分,1785,"part, minute of time",八刀,minute,Time_(時),Divisions_of_the_Day
文,1786,writing,,text,Human_activities,Language_(語)_and_Communication
聞,1787,hear,耳門,ask,Human_activities,Language_(語)_and_Communication
丙,1788,third class,人冂,third,Numbers_(数),Counting_(計)_&_Sequence_(序)
平,1789,flat,干丷,,,
兵,1790,soldier,八斤,,,
併,1791,join,｜丿二廾亻丷,,,
並,1792,line-up,｜二丷,line up,Physical_Attributes_and_Properties,Form_and_Shape_(形)
柄,1793,design,人冂木,"design, pattern",Physical_Attributes_and_Properties,Form_and_Shape_(形)
陛,1794,highness,土比阝.,,,
閉,1795,closed,丿亅門,,,
塀,1796,fence,｜丿二八土尸廾,,,
幣,1797,cash,冂巾攴丷,currency,Human_activities,Money_(銭)_and_Commerce_(商)
弊,1798,abuse,｜冂巾廾攴丷尚,,,
蔽,1799,cover,｜冂巾攴丷尚艹,,,
餅,1800,mochi rice cake,｜丿二廾食丷,rice cake,Food_(食)_and_Drink_(飲),
米,1801,rice,,rice,Food_(食)_and_Drink_(飲),
壁,1802,wall,十口土尸立辛,,,
璧,1803,sphere,十口尸玉立辛,,,
癖,1804,mannerism,十口尸疒立辛,,,
別,1805,separate,力口刂,,,
蔑,1806,ignore,丿戈网艹,contempt,Emotions_and_Senses_(感),Emotions_(情)
片,1807,one-sided,,,,
辺,1808,environs,刀辶,,,
返,1809,return,厂又辶,,,
変,1810,change,亠夂,,,
偏,1811,partial,｜冂戸亻冊,,,
遍,1812,everywhere,｜冂戸辶冊,,,
編,1813,compile,｜冂戸糸冊,,,
弁,1814,valve,厶廾,,,
便,1815,convenience,｜丿日田亻,faeces,Body_(身),Bodily_Functions
勉,1816,exertion,儿力免,,,
歩,1817,walk,丿小止,walk,Body_(身),Actions
保,1818,preserve,口木亻,,,
